Date,Open,High,Low,Close,Volume
2024-09-09,539.541,542.573,537.59,541.285,40828778
2024-09-10,543.217,543.999,538.283,543.642,36739177
2024-09-11,543.553,550.151,534.895,549.219,75961091
2024-09-12,549.804,554.153,547.555,553.846,52384075
2024-09-13,554.461,557.75,554.203,556.739,39682708
2024-09-16,556.471,557.828,554.648,557.56,37003196
2024-09-17,559.799,561.266,555.535,557.789,49787960
2024-09-18,558.453,563.356,555.569,556.135,59603997
2024-09-19,565.654,567.507,562.752,565.624,76028586
2024-09-20,564.239,565.7,561.586,564.646,77997763
2024-09-23,565.73,566.716,564.497,566.058,44398492
2024-09-24,566.862,567.737,564,567.677,47104402
2024-09-25,567.518,568.263,565.302,566.425,38673852
2024-09-26,570.738,571.066,566.286,568.671,48644502
2024-09-27,569.754,570.578,566.802,567.846,42369631
2024-09-30,566.802,570.738,564.477,570.121,64061720
2024-10-01,569.764,570.422,562.411,565.014,73132576
2024-10-02,564.11,566.286,561.685,565.252,38340952
2024-10-03,563.762,566.189,561.904,564.219,41107163
2024-10-04,568.721,569.724,564.497,569.346,43279660
2024-10-07,567.677,568.333,563.037,564.199,50283583
2024-10-08,566.802,570.141,565.918,569.535,37637385
2024-10-09,569.525,574.047,568.919,573.479,38154213
2024-10-10,572.118,573.917,570.846,572.476,44419765
2024-10-11,572.397,576.65,572.258,575.904,42537763
2024-10-14,577.534,581.558,577.047,580.614,36448366
2024-10-15,580.883,581.19,574.876,576.103,54549583
2024-10-16,576.103,579.133,575.288,578.607,30921537
2024-10-17,582.194,582.403,578.468,578.657,34613227
2024-10-18,580.366,581.678,578.885,580.883,37655608
2024-10-21,580.147,581.141,576.918,579.929,36671577
2024-10-22,577.365,580.793,576.7,579.621,34402008
2024-10-23,577.574,578.02,570.772,574.325,49629317
2024-10-24,576.302,576.382,572.913,575.566,35203114
2024-10-25,577.822,580.753,574.414,575.368,47569858
2024-10-28,578.885,579.015,576.838,577.146,30367290
2024-10-29,576.172,579.21,574.761,578.081,43173462
2024-10-30,577.604,579.621,575.616,576.332,41700297
2024-10-31,571.91,571.98,564.835,565.034,60566557
2024-11-01,567.697,571.9,567.001,567.419,45958999
2024-11-04,567.557,568.869,564.289,566.196,38460889
2024-11-05,567.12,573.083,566.902,573.043,39730287
2024-11-06,585.463,588.176,581.678,587.292,68617130
2024-11-07,589.319,592.866,589.239,591.833,47534671
2024-11-08,592.389,595.837,592.384,594.396,46741321
2024-11-11,596.006,596.364,593.214,594.963,37826665
2024-11-12,594.883,595.489,590.601,593.114,43280608
2024-11-13,593.582,595.429,591.187,593.402,47691091
2024-11-14,593.532,594.019,588.891,589.587,39152409
2024-11-15,585.98,586.457,580.157,582.036,76473754
2024-11-18,582.502,585.751,581.628,584.42,37320765
2024-11-19,581.002,587.297,580.326,586.556,49727411
2024-11-20,586.636,587.044,580.922,586.755,50351902
2024-11-21,589.637,591.346,583.725,589.905,47048662
2024-11-22,589.895,592.37,589.39,591.733,38470364
2024-11-25,595.717,597.049,591.425,593.74,42712269
2024-11-26,595.003,597.516,594.277,596.841,45912459
2024-11-27,596.652,597.039,593.492,595.033,34217164
2024-11-29,595.857,599.524,595.579,598.728,30369953
2024-12-02,599.146,600.487,598.65,599.802,31948603
2024-12-03,599.563,600.329,598.521,600.08,27078356
2024-12-04,601.789,604.054,601.113,603.806,43060646
2024-12-05,603.806,604.621,602.46,602.812,28945753
2024-12-06,603.588,605.207,603.17,603.956,31440944
2024-12-09,603.836,604.005,600.249,600.845,34964478
2024-12-10,601.531,601.958,598.312,598.977,37472159
2024-12-11,601.938,604.577,601.66,603.608,28860754
2024-12-12,602.733,603.31,600.497,600.497,31745136
2024-12-13,602.554,603.28,598.987,600.378,36133887
2024-12-16,602.157,603.925,601.371,602.942,43974057
2024-12-17,600.359,601.332,599.061,600.457,56129512
2024-12-18,600.149,602.559,582.174,582.562,108939612
2024-12-19,587.61,589.239,582.134,582.383,86467821
2024-12-20,580.026,593.964,579.168,589.378,126094748
2024-12-23,589.118,593.515,585.899,592.907,57809159
2024-12-24,594.273,599.537,593.685,599.497,33259821
2024-12-26,597.702,600.674,596.289,599.537,41463211
2024-12-27,595.748,595.984,588.993,593.226,65164695
2024-12-30,586.127,589.966,582.658,586.456,56748909
2024-12-31,588.136,588.869,582.668,584.323,57224231
2025-01-02,587.623,589.358,578.759,582.887,50354956
2025-01-03,585.768,590.823,584.672,590.175,38002403
2025-01-06,594.482,597.902,591.82,593.575,47822830
2025-01-07,595.629,595.958,585.021,586.865,60574675
2025-01-08,586.935,588.809,583.44,587.723,47446933
2025-01-10,584.123,584.193,576.815,578.749,73324898
2025-01-13,574.044,580.006,573.625,579.647,48054142
2025-01-14,582.608,583.246,576.616,580.444,48566197
2025-01-15,588.555,592.159,587.428,591.003,57071277
2025-01-16,592.393,592.568,589.158,589.866,43449939
2025-01-17,595.17,597.563,593.824,595.788,58245266
2025-01-21,598.869,601.252,596.875,601.242,42660764
2025-01-22,604.103,605.998,603.545,604.622,48340915
